idx,polution_clf
19,0
46,1
94,0
96,0
98,1
135,1
139,0
156,0
196,0
202,1
243,1
248,0
252,1
265,1
286,0
289,1
319,0
344,1
365,0
395,0
448,0
452,0
537,0
560,1
656,1
658,1
788,1
789,1
803,0
839,0
888,1
890,1
895,1
902,0
915,0
929,1
934,0
940,1
943,0
954,0
992,0
994,1
1032,0
1054,1
1060,0
1068,1
1077,1
1088,1
1108,1
1137,0
1160,0
1162,1
1166,1
1207,1
1208,1
1213,1
1217,0
1219,1
1225,1
1226,1
1238,1
1259,0
1287,1
1337,0
1338,1
1383,0
1427,1
1478,1
1547,1
1632,1
1650,1
1670,0
1671,0
1677,0
1704,1
1727,0
1733,0
1740,1
1744,0
1764,1
1769,1
1774,0
1791,0
1839,0
1852,0
1874,1
1902,1
1928,0
1930,0
1953,1
2101,0
2109,1
2130,0
2179,0
2185,0
2192,1
2246,0
2264,1
2340,0
2384,1
2391,0
2411,0
2424,1
2427,0
2442,0
2453,0
2458,0
2460,0
2473,0
2475,0
2508,0
2524,1
2530,1
2531,1
2537,1
2539,1
2541,1
2573,1
2575,0
2592,1
2609,1
2611,0
2633,0
2645,0
2704,1
2767,0
2778,1
2858,1
2859,1
2866,1
2870,0
2916,1
2924,1
2940,0
2956,0
2972,1
3045,0
3074,1
3121,0
3125,0
3173,0
3177,1
3186,0
3189,0
3199,0
3207,0
3232,1
3245,0
3265,0
3285,0
3289,1
3292,1
3300,0
3315,1
3341,1
3406,1
3415,1
3460,0
3562,1
3611,0
3630,1
3635,0
3644,1
3736,1
3753,0
3764,0
3842,1
3843,1
3860,0
3884,0
3901,0
3936,0
3955,0
3975,0
4002,1
4023,0
4080,1
4083,1
4096,0
4108,1
4110,1
4135,0
4228,1
4259,0
4271,1
4329,0
4332,0
4334,1
4341,0
4416,1
4427,1
4444,1
4449,1
4462,1
4516,1
4528,0
4553,1
4558,1
4580,1
4583,0
4588,1
4607,1
4760,1
4780,1
4806,1
4822,1
4860,0
4930,0
4968,0
4974,0
4981,0
4985,0
5044,1
5055,0
5095,1
5113,1
5200,0
5241,1
5247,1
5255,0
5272,1
5300,0
5305,0
5360,1
5376,1
5391,0
5416,1
5431,0
5461,0
5479,1
5489,1
5500,0
5505,0
5517,0
5539,0
5541,0
5577,1
5598,1
5637,1
5639,0
5723,1
5729,1
5777,1
5780,0
5787,0
5792,1
5805,1
5825,0
5940,0
6018,0
6033,0
6035,0
6095,1
6106,0
6112,1
6123,0
6131,1
6209,0
6275,1
6285,1
6289,0
6293,1
6314,1
6321,1
6391,1
6426,0
6526,1
6561,0
6563,1
6578,0
6590,1
6598,0
6652,1
6688,1
6703,1
6704,0
6730,0
6737,0
6738,0
6746,0
6767,1
6771,1
6826,1
6833,1
6847,1
6848,0
6856,0
6872,1
6936,0
6970,0
7010,0
7045,1
7152,0
7157,0
7158,0
7161,0
7171,0
7226,1
7238,0
7313,0
7319,0
7333,1
7351,1
7373,0
7396,1
7406,0
7419,0
7434,1
7496,1
7531,0
7544,1
7554,0
7567,0
7612,0
7628,1
7638,1
7680,0
7706,0
7731,0
7733,0
7767,1
7790,1
7798,0
7800,1
7812,1
7819,0
7859,1
7890,1
7897,0
7934,0
7935,0
7962,1
8001,0
8039,0
8055,0
8058,1
8149,1
8163,1
